gcs_text_path,sentiment_score,sentiments_magnitude,sentiments_tag,UNKNOWN,PERSON,LOCATION,ORGANIZATION,EVENT,WORK_OF_ART,CONSUMER_GOOD,OTHER
gs://nlp_api_test/dataset/dataset_custom/0_3.txt,-0.10000000149011612,3.900000095367432,Negative,0,1,0,0,1,1,0,1
gs://nlp_api_test/dataset/dataset_custom/0_9.txt,0.0,3.7000000476837163,Neutral,0,0,0,0,0,0,0,0
gs://nlp_api_test/dataset/dataset_custom/100_3.txt,-0.5,1.100000023841858,Negative,0,1,1,0,1,1,0,1
gs://nlp_api_test/dataset/dataset_custom/100_7.txt,0.0,5.099999904632568,Mixed,0,0,0,0,0,0,0,0
gs://nlp_api_test/dataset/dataset_custom/101_1.txt,-0.5,7.699999809265138,Negative,0,1,0,1,0,1,1,1
gs://nlp_api_test/dataset/dataset_custom/101_8.txt,0.6000000238418579,3.0999999046325684,Positive,0,0,0,0,0,1,0,1
gs://nlp_api_test/dataset/dataset_custom/102_1.txt,-0.30000001192092896,6.199999809265138,Negative,0,1,0,0,0,1,0,1
gs://nlp_api_test/dataset/dataset_custom/102_10.txt,0.5,3.900000095367432,Positive,0,0,0,0,0,0,1,1
gs://nlp_api_test/dataset/dataset_custom/103_1.txt,-0.4000000059604645,1.8999999761581419,Negative,0,1,0,0,0,1,0,1
gs://nlp_api_test/dataset/dataset_custom/103_7.txt,0.6000000238418579,0.6000000238418579,Positive,0,0,0,0,0,1,0,1
gs://nlp_api_test/dataset/dataset_custom/104_10.txt,0.4000000059604645,2.900000095367432,Positive,0,1,0,0,0,1,0,1
gs://nlp_api_test/dataset/dataset_custom/104_3.txt,-0.5,2.700000047683716,Negative,0,1,1,0,1,1,0,1
gs://nlp_api_test/dataset/dataset_custom/105_2.txt,0.0,4.300000190734863,Mixed,0,0,0,0,0,0,0,0
gs://nlp_api_test/dataset/dataset_custom/105_7.txt,0.10000000149011612,9.600000381469727,Positive,0,1,0,0,0,1,0,1
gs://nlp_api_test/dataset/dataset_custom/106_10.txt,0.0,4.900000095367432,Mixed,0,0,0,0,0,0,0,0
gs://nlp_api_test/dataset/dataset_custom/106_2.txt,0.10000000149011612,3.7999999523162837,Positive,0,0,0,0,0,0,0,0
gs://nlp_api_test/dataset/dataset_custom/107_10.txt,0.4000000059604645,4.300000190734863,Positive,0,1,0,0,0,1,1,1
gs://nlp_api_test/dataset/dataset_custom/107_2.txt,0.0,4.300000190734863,Mixed,0,0,0,0,0,0,0,0
gs://nlp_api_test/dataset/dataset_custom/108_1.txt,-0.30000001192092896,1.7999999523162842,Negative,0,1,0,1,1,1,0,1
